dialog-id,perspective-taking,recognition-of-emotions,contextual-awareness,acknowledgment-of-speaker-experience,clarity-of-response,warmth-in-tone,sympathetic-responses,emotional-mirroring,validation-of-feelings,emotional-resonance,encouragement,reassurance,ofereing-help,empowering,assistance,rating,Closed Question,Open Question,Simple Reflection,Complex Reflection,Give Information,Advise with Permission,Affirm,Emphasize Autonomy,Support,Advise without Permission,Confront,Direct,Warn,Self-Disclose,Other
hit:638_conv:1277_type:human,4,3,4,5,6,5,4,3,4,3,4,3,2,3,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hit:5555_conv:11110_type:human,5,6,4,7,6,7,5,4,6,5,4,5,3,3,2,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hit:7017_conv:14034_type:chatgpt_empathy,3,4,3,2,5,2,3,2,3,2,1,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
hit:10061_conv:20123_type:human,5,6,5,4,6,6,5,4,5,4,5,5,4,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
hit:900_conv:1800_type:human,2,2,3,1,4,2,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
hit:1388_conv:2776_type:chatgpt_empathy,7,6,5,7,6,7,6,5,6,5,5,6,5,4,4,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
hit:1528_conv:3057_type:chatgpt,6,5,5,6,7,6,7,5,6,5,4,5,4,4,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
hit:1372_conv:2744_type:chatgpt_empathy,8,9,7,9,8,9,9,8,9,8,6,8,7,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
hit:10787_conv:21575_type:chatgpt_empathy,7,6,5,8,7,8,7,6,7,6,5,6,4,5,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hit:1514_conv:3028_type:chatgpt,7,6,5,8,7,8,6,5,7,6,7,6,5,6,5,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
