dialog_id,situation,speaker_uttr,response,rating,miti,type,unified_dialog_id
hit:638_conv:1277,The NES Classic makes me remember playing them originally.,Playing with the new NES remake has me remembering all these games I had forgotten.,"That it is cool. There was an old game that I loved Crash Bandicoot. Recently, they did a remaster of this game.",2,"['Give Information', 'Self-Disclose', 'Give Information']",human,hit:638_conv:1277_type:human
hit:5555_conv:11110,"I used to get so scared by the movie ""The Village"" as a kid","I used to get so scared by the movie ""The Village"" as a kid","Oh no! I've never seen that movie, but it sounds like it was very horrifying! Have you watched it as an adult?",3,"['Other', 'Simple Reflection', 'Closed Question']",human,hit:5555_conv:11110_type:human
hit:7017_conv:14034,when my girl friend left me i felt so alone,"when my long time girl friend left me , i felt so alone even tho i have family and friends around me i just was not there i lost a lot of weight too","I'm really sorry that you're feeling this way, but I'm unable to provide the help that you need. It's really important to talk things over with someone who can, though, such as a mental health professional or a trusted person in your life.",1,"['Support', 'Support', 'Advise without Permission', 'Advise without Permission']",chatgpt_empathy,hit:7017_conv:14034_type:chatgpt_empathy
hit:10061_conv:20123,I'm feeling a bit nervous about my next decisions in life.,I've been feeling a bit nervous about my next decisions in life. How do I know what the right thing to do is?,I know exactly what you mean. It's really tough but when I make decisions I try to stand on them and be willing to pivot if necessary.,1,"['Support', 'Self-Disclose']",human,hit:10061_conv:20123_type:human
hit:900_conv:1800,a situation where I felt proud is when i was able to graduate from college,hi,"You should read the instructions before you start.. You need to work off the prompts.. But hello,",1,"['Advise without Permission', 'Other']",human,hit:900_conv:1800_type:human
hit:1388_conv:2776,"My job can annoy me sometimes, people always have issues","My job can annoy me sometimes, people always have issues",I can understand how dealing with constant issues can be frustrating. It's important to remember that everyone has off days. Maybe taking a short break could help you feel better.,2,"['Support', 'Give Information', 'Advise without Permission', 'Advise with Permission']",chatgpt_empathy,hit:1388_conv:2776_type:chatgpt_empathy
hit:1528_conv:3057,I loaned some money to my friend at work. Turns out he quit a couple days ago and I won't be getting my money back as I have no way of contacting him..,I loaned some money to my friend at work. Turns out he quit a couple days ago and I won't be getting my money back as I have no way of contacting him..,"I'm really sorry to hear about your situation. It's unfortunate when trust is broken like this. In the future, it might be best to have some form of written agreement for loans.",1,"['Support', 'Support', 'Advise without Permission']",chatgpt,hit:1528_conv:3057_type:chatgpt
hit:1372_conv:2744,I was afraid when my dad used to scare me and  my brothers,I was afraid when my dad used to scare me and my brothers,I'm really sorry to hear that you had to experience that fear. It must have been tough for you and your brothers. How are you feeling about it now?,1,"['Support', 'Advise without Permission']",chatgpt_empathy,hit:1372_conv:2744_type:chatgpt_empathy
hit:10787_conv:21575,when I was younger I was ashamed that I went into a comic book store with a good friend of mine and tried to steal a lot of comic books but luckily I was caught ,when i was younger I did something I was very embarrassed about,I can understand how you might still feel embarrassed about past actions. We all have moments we're not proud of. It's part of growing and learning.,1,"['Give Information', 'Give Information', 'Advise without Permission']",chatgpt_empathy,hit:10787_conv:21575_type:chatgpt_empathy
hit:1514_conv:3028,I recently visited a new restaurant in town. I didn't have high expections but it was great!,I didn't have high expectations for this new restaurant in town but my friend and I had dinner there last week and it was better than I thought it would be!,"That's great to hear! Sometimes, trying new places can lead to pleasant surprises. What was your favorite dish from the restaurant?",3,"['Affirm', 'Give Information', 'Open Question']",chatgpt,hit:1514_conv:3028_type:chatgpt
hit:8523_conv:17047,Finally figured out why I wasn't getting good sleep,"I started taping my mouth closed before bed, and now I'm no longer tired when I wake up, feels like I am born again",That's wonderful to hear! It sounds like this change has had a significant positive impact on your sleep quality and overall energy. Keep up the good work!,3,"['Affirm', 'Give Information', 'Affirm', 'Direct']",chatgpt_empathy,hit:8523_conv:17047_type:chatgpt_empathy
hit:6925_conv:13851,I seen a guy riding a unicycle today. He was just listening to music and making it look easy.,I seen this guy riding down my street riding a unicycle making it look easy. Talk about skill!,"Wow, that's not something I'd expect to see just looking out my window at the street!  Were you impressed?",2,"['Self-Disclose', 'Closed Question']",human,hit:6925_conv:13851_type:human
hit:12022_conv:24044,"I was in Walmart and my son pulled a few items off the shelf onto the floor, everyone was looking. ",I was in Walmart and my son pulled a few items off the shelf. Everyone was looking and whispering.,"I'm really sorry to hear that you had to go through such an uncomfortable situation. It's tough when it feels like all eyes are on you. Remember, kids will be kids and people should understand that.",3,"['Support', 'Give Information', 'Support']",chatgpt_empathy,hit:12022_conv:24044_type:chatgpt_empathy
hit:3768_conv:7537,"My friend always seems to get great jobs and then just phones in her work. It is annoying because I got laid off a while ago and it was so hard for me to find another job, but she just hops from job to job with seemingly no effort.","This friend of mine is constantly job hopping, I don't even know what she does technically but she seems to get good jobs so easily, whereas when I left my last job I could barely get interviews.","Sometimes that depends on the industry. If she works in ones that have high turnover it's not a big of a deal as, say, an administrative job",1,"['Give Information', 'Give Information']",human,hit:3768_conv:7537_type:human
hit:11000_conv:22000,It's back to school time. I am a teacher and I spent time getting my classroom ready today. ,It's back to school time. I am a teacher and I spent time getting my classroom ready today.,That's wonderful! Preparing your classroom is a significant part of setting the tone for the new academic year. I hope your students appreciate your efforts and have a successful year.,3,"['Affirm', 'Give Information', 'Support']",chatgpt,hit:11000_conv:22000_type:chatgpt
hit:8313_conv:16626,My upstairs neighbor moved out recently and left all her trash and furniture in our parking lot next to the garbage cans. No one has a place to park! I'm so mad.,I'm so irritated at my neighbor. She moved out recently and left ALL her garbage and old furniture in our parking lot by the garbage.,I'm really sorry to hear about your situation. It must be frustrating to deal with such a mess. Have you considered reporting this to your local authorities?,2,"['Support', 'Support', 'Advise with Permission', 'Give Information']",chatgpt_empathy,hit:8313_conv:16626_type:chatgpt_empathy
